,Day,Weekday,Race Number,Post Position,M/L Odds,Finish,Final Odds,Change In Odds,ML_Odds_Split,F_Odds_Split,Diff_Odds_Split
0,1,Friday,1,1,3.5,1,1.88,1.62,2,1,1
1,1,Friday,1,2,15.0,6,12.46,2.54,4,4,2
2,1,Friday,1,3,4.5,7,6.91,2.41,2,3,2
4,1,Friday,1,5,12.0,3,6.56,5.44,4,3,3
6,1,Friday,1,7,6.0,4,9.39,3.39,3,3,2
7,1,Friday,1,8,6.0,2,2.99,3.01,3,2,2
8,1,Friday,1,9,2.5,5,5.07,2.57,2,3,2
9,1,Friday,2,1,20.0,5,14.21,5.79,5,4,3
10,1,Friday,2,2,30.0,3,31.84,1.84,6,7,1
11,1,Friday,2,3,6.0,2,5.85,0.15,3,3,1
14,1,Friday,2,6,20.0,6,17.75,2.25,5,5,2
15,1,Friday,2,7,12.0,9,47.19,35.19,4,7,7
16,1,Friday,2,8,30.0,8,23.72,6.28,6,6,3
18,1,Friday,2,10,15.0,7,8.35,6.65,4,3,3
19,1,Friday,2,11,10.0,4,21.01,11.01,3,6,4
20,1,Friday,2,12,4.0,1,0.46,3.54,2,1,2
22,1,Friday,3,1,3.0,3,5.45,2.45,2,3,2
23,1,Friday,3,2,12.0,4,13.31,1.31,4,4,1
24,1,Friday,3,3,2.0,1,2.5,0.5,1,2,1
25,1,Friday,3,4,20.0,9,62.94,42.94,5,8,7
26,1,Friday,3,5,6.0,6,3.32,2.68,3,2,2
27,1,Friday,3,6,4.0,2,2.69,1.31,2,2,1
28,1,Friday,3,7,20.0,7,32.65,12.65,5,7,4
29,1,Friday,3,8,8.0,8,11.55,3.55,3,4,2
30,1,Friday,3,9,15.0,5,17.48,2.48,4,5,2
32,1,Friday,4,1,3.0,1,2.8,0.2,2,2,1
33,1,Friday,4,2,20.0,6,60.78,40.78,5,8,7
34,1,Friday,4,3,15.0,8,23.41,8.41,4,6,3
35,1,Friday,4,4,20.0,7,36.93,16.93,5,7,5
36,1,Friday,4,5,6.0,5,16.53,10.53,3,5,4
37,1,Friday,4,6,10.0,2,3.55,6.45,3,2,3
38,1,Friday,4,7,4.0,9,6.54,2.54,2,3,2
40,1,Friday,4,9,3.5,4,6.21,2.71,2,3,2
41,1,Friday,4,10,8.0,3,2.36,5.64,3,2,3
42,1,Friday,5,1,6.0,4,13.72,7.72,3,4,3
44,1,Friday,5,3,15.0,2,12.9,2.1,4,4,2
45,1,Friday,5,4,20.0,3,25.37,5.37,5,6,3
46,1,Friday,5,5,8.0,1,2.31,5.69,3,2,3
47,1,Friday,5,6,15.0,10,29.12,14.12,4,6,4
48,1,Friday,5,7,4.5,6,3.29,1.21,2,2,1
49,1,Friday,5,8,20.0,11,82.34,62.34,5,8,8
50,1,Friday,5,9,30.0,7,66.04,36.04,6,8,7
51,1,Friday,5,10,15.0,8,9.01,5.99,4,3,3
52,1,Friday,5,11,8.0,5,3.8,4.2,3,2,2
53,1,Friday,5,12,4.0,9,8.05,4.05,2,3,2
55,1,Friday,6,1,20.0,3,49.79,29.79,5,7,6
57,1,Friday,6,3,2.5,4,1.57,0.93,2,1,1
58,1,Friday,6,4,50.0,6,80.4,30.4,7,8,7
59,1,Friday,6,5,1.8,5,1.21,0.59,1,1,1
60,1,Friday,6,6,8.0,1,5.78,2.22,3,3,2
61,1,Friday,6,7,6.0,2,5.66,0.34,3,3,1
62,1,Friday,6,8,12.0,7,44.63,32.63,4,7,7
63,1,Friday,7,1,30.0,3,21.09,8.91,6,6,3
65,1,Friday,7,3,8.0,1,4.45,3.55,3,2,2
66,1,Friday,7,4,4.5,2,1.95,2.55,2,1,2
67,1,Friday,7,5,10.0,8,15.43,5.43,3,5,3
68,1,Friday,7,6,30.0,4,64.01,34.01,6,8,7
71,1,Friday,7,9,2.5,6,1.82,0.68,2,1,1
73,1,Friday,7,11,10.0,7,10.69,0.69,3,4,1
74,1,Friday,7,12,20.0,5,8.27,11.73,5,3,4
75,1,Friday,8,1,12.0,11,9.88,2.12,4,3,2
76,1,Friday,8,2,5.0,8,25.98,20.98,2,6,6
77,1,Friday,8,3,20.0,3,31.75,11.75,5,7,4
78,1,Friday,8,4,10.0,1,13.41,3.41,3,4,2
79,1,Friday,8,5,15.0,12,14.42,0.58,4,4,1
80,1,Friday,8,6,4.0,9,4.22,0.22,2,2,1
81,1,Friday,8,7,8.0,4,33.51,25.51,3,7,6
82,1,Friday,8,8,4.5,5,3.38,1.12,2,2,1
83,1,Friday,8,9,15.0,7,43.89,28.89,4,7,6
84,1,Friday,8,10,12.0,6,5.13,6.87,4,3,3
85,1,Friday,8,11,8.0,10,8.74,0.74,3,3,1
86,1,Friday,8,12,10.0,2,5.23,4.77,3,3,2
89,1,Friday,9,1,6.0,4,1.64,4.36,3,1,2
90,1,Friday,9,2,30.0,5,55.11,25.11,6,8,6
91,1,Friday,9,3,4.0,1,9.45,5.45,2,3,3
92,1,Friday,9,4,8.0,8,17.06,9.06,3,5,3
93,1,Friday,9,5,10.0,6,53.75,43.75,3,8,7
94,1,Friday,9,6,3.0,2,4.63,1.63,2,2,1
95,1,Friday,9,7,2.0,3,2.02,0.02,1,2,1
96,1,Friday,9,8,8.0,7,7.52,0.48,3,3,1
97,1,Friday,10,1,8.0,3,5.04,2.96,3,3,2
98,1,Friday,10,2,4.0,2,4.42,0.42,2,2,1
99,1,Friday,10,3,6.0,10,4.92,1.08,3,2,1
100,1,Friday,10,4,8.0,4,19.9,11.9,3,5,4
101,1,Friday,10,5,12.0,8,14.74,2.74,4,4,2
102,1,Friday,10,6,20.0,11,57.07,37.07,5,8,7
103,1,Friday,10,7,3.5,6,3.37,0.13,2,2,1
104,1,Friday,10,8,30.0,7,89.56,59.56,6,8,8
105,1,Friday,10,9,4.5,5,3.72,0.78,2,2,1
106,1,Friday,10,10,15.0,9,42.55,27.55,4,7,6
108,1,Friday,10,12,15.0,1,13.51,1.49,4,4,1
111,2,Saturday,1,1,30.0,7,43.81,13.81,6,7,4
112,2,Saturday,1,2,20.0,6,22.19,2.19,5,6,2
113,2,Saturday,1,3,6.0,5,4.19,1.81,3,2,1
114,2,Saturday,1,4,8.0,2,18.92,10.92,3,5,4
115,2,Saturday,1,5,4.5,1,3.05,1.45,2,2,1
117,2,Saturday,1,7,2.5,3,1.99,0.51,2,1,1
118,2,Saturday,1,8,1.6,4,2.31,0.71,1,2,1
120,2,Saturday,2,2,10.0,1,3.64,6.36,3,2,3
121,2,Saturday,2,3,8.0,6,11.14,3.14,3,4,2
122,2,Saturday,2,4,0.8,2,3.43,2.63,1,2,2
123,2,Saturday,2,5,12.0,3,15.19,3.19,4,5,2
124,2,Saturday,2,6,4.5,4,1.48,3.02,2,1,2
125,2,Saturday,2,7,3.5,5,3.9,0.4,2,2,1
126,2,Saturday,3,1,30.0,11,66.79,36.79,6,8,7
127,2,Saturday,3,2,12.0,10,13.13,1.13,4,4,1
128,2,Saturday,3,3,8.0,5,6.12,1.88,3,3,1
129,2,Saturday,3,4,15.0,4,24.0,9.0,4,6,3
130,2,Saturday,3,5,5.0,2,6.48,1.48,2,3,1
131,2,Saturday,3,6,1.2,1,0.85,0.35,1,1,1
132,2,Saturday,3,7,12.0,6,10.51,1.49,4,4,1
133,2,Saturday,3,8,20.0,3,27.87,7.87,5,6,3
134,2,Saturday,3,9,50.0,8,88.58,38.58,7,8,7
135,2,Saturday,3,10,30.0,9,43.71,13.71,6,7,4
136,2,Saturday,3,11,15.0,7,88.59,73.59,4,8,8
137,2,Saturday,3,12,6.0,12,10.65,4.65,3,4,2
138,2,Saturday,4,1,1.2,7,0.87,0.33,1,1,1
139,2,Saturday,4,2,3.0,2,5.89,2.89,2,3,2
140,2,Saturday,4,3,20.0,5,76.26,56.26,5,8,8
141,2,Saturday,4,4,4.5,3,4.13,0.37,2,2,1
142,2,Saturday,4,5,15.0,4,20.38,5.38,4,6,3
143,2,Saturday,4,6,4.0,1,5.49,1.49,2,3,1
144,2,Saturday,4,7,12.0,6,8.69,3.31,4,3,2
145,2,Saturday,5,1,30.0,12,80.49,50.49,6,8,8
146,2,Saturday,5,2,6.0,1,3.88,2.12,3,2,2
148,2,Saturday,5,4,20.0,3,31.06,11.06,5,7,4
149,2,Saturday,5,5,30.0,10,45.07,15.07,6,7,5
150,2,Saturday,5,6,20.0,8,28.36,8.36,5,6,3
151,2,Saturday,5,7,6.0,6,9.62,3.62,3,3,2
152,2,Saturday,5,8,12.0,11,48.18,36.18,4,7,7
153,2,Saturday,5,9,3.5,7,2.34,1.16,2,2,1
154,2,Saturday,5,10,4.0,4,3.71,0.29,2,2,1
155,2,Saturday,5,11,4.5,9,10.26,5.76,2,4,3
156,2,Saturday,5,12,20.0,5,32.46,12.46,5,7,4
158,2,Saturday,5,14,6.0,2,5.99,0.01,3,3,1
159,2,Saturday,6,1,30.0,7,24.72,5.28,6,6,3
160,2,Saturday,6,2,4.0,3,1.99,2.01,2,1,2
162,2,Saturday,6,4,3.0,5,3.24,0.24,2,2,1
163,2,Saturday,6,5,20.0,6,28.73,8.73,5,6,3
164,2,Saturday,6,6,12.0,1,6.06,5.94,4,3,3
166,2,Saturday,6,8,8.0,4,7.01,0.99,3,3,1
167,2,Saturday,6,9,2.5,2,2.54,0.04,2,2,1
168,2,Saturday,7,1,8.0,5,5.88,2.12,3,3,2
169,2,Saturday,7,2,30.0,7,15.72,14.28,6,5,4
170,2,Saturday,7,3,15.0,3,10.77,4.23,4,4,2
171,2,Saturday,7,4,10.0,8,6.25,3.75,3,3,2
172,2,Saturday,7,5,4.5,9,7.28,2.78,2,3,2
173,2,Saturday,7,6,10.0,6,4.73,5.27,3,2,3
174,2,Saturday,7,7,20.0,12,78.81,58.81,5,8,8
175,2,Saturday,7,8,15.0,2,58.91,43.91,4,8,7
176,2,Saturday,7,9,4.0,1,6.52,2.52,2,3,2
177,2,Saturday,7,10,3.0,11,2.96,0.04,2,2,1
178,2,Saturday,7,11,20.0,4,34.24,14.24,5,7,4
179,2,Saturday,7,12,10.0,10,39.6,29.6,3,7,6
180,2,Saturday,8,1,6.0,4,8.64,2.64,3,3,2
181,2,Saturday,8,2,3.5,3,4.88,1.38,2,2,1
182,2,Saturday,8,3,8.0,6,13.39,5.39,3,4,3
183,2,Saturday,8,4,30.0,8,54.12,24.12,6,8,6
184,2,Saturday,8,5,10.0,5,16.37,6.37,3,5,3
185,2,Saturday,8,6,2.5,1,2.16,0.34,2,2,1
186,2,Saturday,8,7,20.0,7,5.23,14.77,5,3,4
187,2,Saturday,8,8,2.0,2,2.38,0.38,1,2,1
188,2,Saturday,9,1,15.0,3,21.65,6.65,4,6,3
189,2,Saturday,9,2,12.0,11,11.67,0.33,4,4,1
190,2,Saturday,9,3,3.5,2,2.21,1.29,2,2,1
191,2,Saturday,9,4,8.0,10,6.61,1.39,3,3,1
192,2,Saturday,9,5,20.0,5,33.52,13.52,5,7,4
193,2,Saturday,9,6,4.0,1,3.62,0.38,2,2,1
194,2,Saturday,9,7,10.0,7,48.06,38.06,3,7,7
195,2,Saturday,9,8,20.0,12,30.77,10.77,5,7,4
196,2,Saturday,9,9,8.0,6,13.65,5.65,3,4,3
197,2,Saturday,9,10,10.0,4,6.47,3.53,3,3,2
198,2,Saturday,9,11,6.0,9,9.47,3.47,3,3,2
199,2,Saturday,9,12,12.0,8,31.81,19.81,4,7,5
201,2,Saturday,10,1,15.0,6,12.41,2.59,4,4,2
202,2,Saturday,10,2,8.0,8,7.16,0.84,3,3,1
203,2,Saturday,10,3,20.0,7,19.9,0.1,5,5,1
204,2,Saturday,10,4,3.0,4,2.64,0.36,2,2,1
205,2,Saturday,10,5,20.0,10,42.72,22.72,5,7,6
206,2,Saturday,10,6,3.5,2,3.31,0.19,2,2,1
207,2,Saturday,10,7,30.0,9,57.32,27.32,6,8,6
208,2,Saturday,10,8,20.0,3,51.37,31.37,5,8,7
209,2,Saturday,10,9,30.0,5,181.11,151.11,6,8,8
210,2,Saturday,10,10,2.0,1,1.66,0.34,1,1,1
213,2,Saturday,11,2,20.0,7,18.1,1.9,5,5,1
214,2,Saturday,11,3,1.6,1,1.52,0.08,1,1,1
215,2,Saturday,11,4,4.0,2,6.18,2.18,2,3,2
216,2,Saturday,11,5,3.5,3,2.22,1.28,2,2,1
217,2,Saturday,11,6,6.0,6,11.74,5.74,3,4,3
218,2,Saturday,11,7,8.0,5,11.39,3.39,3,4,2
219,2,Saturday,11,8,10.0,4,6.45,3.55,3,3,2
220,3,Sunday,1,1,30.0,7,42.97,12.97,6,7,4
221,3,Sunday,1,2,6.0,5,5.93,0.07,3,3,1
222,3,Sunday,1,3,30.0,6,103.32,73.32,6,8,8
223,3,Sunday,1,4,8.0,8,5.73,2.27,3,3,2
224,3,Sunday,1,5,30.0,9,26.43,3.57,6,6,2
226,3,Sunday,1,7,20.0,10,48.59,28.59,5,7,6
227,3,Sunday,1,8,4.5,4,1.02,3.48,2,1,2
228,3,Sunday,1,9,30.0,11,112.55,82.55,6,8,8
229,3,Sunday,1,10,15.0,3,17.69,2.69,4,5,2
230,3,Sunday,1,11,4.0,2,3.31,0.69,2,2,1
231,3,Sunday,1,12,20.0,1,45.37,25.37,5,7,6
234,3,Sunday,2,1,30.0,1,7.3,22.7,6,3,6
235,3,Sunday,2,2,15.0,7,25.59,10.59,4,6,4
236,3,Sunday,2,3,4.0,2,2.43,1.57,2,2,1
237,3,Sunday,2,4,4.5,3,2.87,1.63,2,2,1
238,3,Sunday,2,5,12.0,4,15.49,3.49,4,5,2
239,3,Sunday,2,6,3.0,6,6.43,3.43,2,3,2
240,3,Sunday,2,7,8.0,5,2.47,5.53,3,2,3
242,3,Sunday,3,1,8.0,2,8.21,0.21,3,3,1
243,3,Sunday,3,2,12.0,8,52.88,40.88,4,8,7
244,3,Sunday,3,3,20.0,7,28.99,8.99,5,6,3
245,3,Sunday,3,4,6.0,6,6.37,0.37,3,3,1
246,3,Sunday,3,5,15.0,9,42.32,27.32,4,7,6
248,3,Sunday,3,7,3.5,5,5.63,2.13,2,3,2
249,3,Sunday,3,8,15.0,1,1.64,13.36,4,1,4
250,3,Sunday,3,9,30.0,10,52.09,22.09,6,8,6
251,3,Sunday,3,10,10.0,4,9.45,0.55,3,3,1
252,3,Sunday,3,11,4.5,3,3.38,1.12,2,2,1
253,3,Sunday,4,1,20.0,8,5.26,14.74,5,3,4
254,3,Sunday,4,2,2.0,6,1.33,0.67,1,1,1
255,3,Sunday,4,3,6.0,4,6.59,0.59,3,3,1
257,3,Sunday,4,5,30.0,7,52.81,22.81,6,8,6
258,3,Sunday,4,6,8.0,2,8.41,0.41,3,3,1
259,3,Sunday,4,7,10.0,3,17.16,7.16,3,5,3
260,3,Sunday,4,8,4.5,5,11.65,7.15,2,4,3
261,3,Sunday,4,9,3.0,1,3.71,0.71,2,2,1
262,3,Sunday,5,1,15.0,5,19.66,4.66,4,5,2
263,3,Sunday,5,2,20.0,12,56.65,36.65,5,8,7
264,3,Sunday,5,3,30.0,9,109.2,79.2,6,8,8
265,3,Sunday,5,4,3.5,1,2.07,1.43,2,2,1
266,3,Sunday,5,5,12.0,7,15.37,3.37,4,5,2
267,3,Sunday,5,6,8.0,3,9.16,1.16,3,3,1
268,3,Sunday,5,7,20.0,8,35.7,15.7,5,7,5
269,3,Sunday,5,8,4.5,4,9.13,4.63,2,3,2
270,3,Sunday,5,9,15.0,10,7.03,7.97,4,3,3
272,3,Sunday,5,11,2.5,2,2.23,0.27,2,2,1
273,3,Sunday,5,12,15.0,6,28.72,13.72,4,6,4
275,3,Sunday,5,14,20.0,11,25.0,5.0,5,6,2
279,3,Sunday,6,2,12.0,6,9.7,2.3,4,3,2
280,3,Sunday,6,3,6.0,9,8.04,2.04,3,3,2
281,3,Sunday,6,4,10.0,5,27.33,17.33,3,6,5
282,3,Sunday,6,5,2.0,1,1.23,0.77,1,1,1
283,3,Sunday,6,6,4.0,8,6.71,2.71,2,3,2
284,3,Sunday,6,7,8.0,12,12.91,4.91,3,4,2
285,3,Sunday,6,8,20.0,2,38.17,18.17,5,7,5
286,3,Sunday,6,9,8.0,7,9.01,1.01,3,3,1
287,3,Sunday,6,10,15.0,10,30.46,15.46,4,7,5
288,3,Sunday,6,11,30.0,11,73.64,43.64,6,8,7
289,3,Sunday,6,12,20.0,3,26.59,6.59,5,6,3
290,3,Sunday,6,13,12.0,4,9.54,2.46,4,3,2
294,3,Sunday,7,1,30.0,5,17.27,12.73,6,5,4
295,3,Sunday,7,2,30.0,10,74.63,44.63,6,8,7
296,3,Sunday,7,3,15.0,2,15.86,0.86,4,5,1
297,3,Sunday,7,4,2.5,4,1.77,0.73,2,1,1
298,3,Sunday,7,5,6.0,6,7.23,1.23,3,3,1
299,3,Sunday,7,6,12.0,1,7.75,4.25,4,3,2
300,3,Sunday,7,7,30.0,11,40.04,10.04,6,7,4
301,3,Sunday,7,8,3.5,8,5.25,1.75,2,3,1
302,3,Sunday,7,9,8.0,12,23.21,15.21,3,6,5
303,3,Sunday,7,10,20.0,7,14.71,5.29,5,4,3
304,3,Sunday,7,11,15.0,9,32.96,17.96,4,7,5
305,3,Sunday,7,12,4.5,3,5.7,1.2,2,3,1
308,3,Sunday,8,1,3.5,1,1.79,1.71,2,1,1
309,3,Sunday,8,2,6.0,2,8.71,2.71,3,3,2
310,3,Sunday,8,3,3.0,5,4.29,1.29,2,2,1
311,3,Sunday,8,4,20.0,4,31.53,11.53,5,7,4
312,3,Sunday,8,5,12.0,6,33.53,21.53,4,7,6
313,3,Sunday,8,6,1.0,3,1.07,0.07,1,1,1
314,3,Sunday,9,1,15.0,9,17.55,2.55,4,5,2
315,3,Sunday,9,2,4.0,2,3.81,0.19,2,2,1
316,3,Sunday,9,3,10.0,4,13.39,3.39,3,4,2
317,3,Sunday,9,4,20.0,10,36.54,16.54,5,7,5
318,3,Sunday,9,5,10.0,3,4.99,5.01,3,2,3
319,3,Sunday,9,6,12.0,8,14.79,2.79,4,4,2
320,3,Sunday,9,7,6.0,5,7.08,1.08,3,3,1
321,3,Sunday,9,8,3.0,7,2.46,0.54,2,2,1
322,3,Sunday,9,9,4.5,1,9.34,4.84,2,3,2
323,3,Sunday,9,10,30.0,11,71.48,41.48,6,8,7
324,3,Sunday,9,11,12.0,6,13.8,1.8,4,4,1
325,3,Sunday,9,12,30.0,12,77.83,47.83,6,8,7
332,4,Wednesday,1,3,2.0,3,0.73,1.27,1,1,1
333,4,Wednesday,1,4,4.0,4,3.78,0.22,2,2,1
334,4,Wednesday,1,5,12.0,2,17.7,5.7,4,5,3
335,4,Wednesday,1,6,30.0,6,19.68,10.32,6,5,4
336,4,Wednesday,1,7,15.0,7,20.69,5.69,4,6,3
337,4,Wednesday,1,8,15.0,5,13.19,1.81,4,4,1
338,4,Wednesday,1,9,6.0,1,4.32,1.68,3,2,1
339,4,Wednesday,2,1,2.0,1,1.13,0.87,1,1,1
340,4,Wednesday,2,2,20.0,5,8.79,11.21,5,3,4
341,4,Wednesday,2,3,30.0,4,24.6,5.4,6,6,3
342,4,Wednesday,2,4,20.0,12,36.23,16.23,5,7,5
343,4,Wednesday,2,5,10.0,9,28.38,18.38,3,6,5
344,4,Wednesday,2,6,6.0,8,9.09,3.09,3,3,2
345,4,Wednesday,2,7,5.0,2,8.0,3.0,2,3,2
346,4,Wednesday,2,8,8.0,7,13.67,5.67,3,4,3
347,4,Wednesday,2,9,30.0,3,73.89,43.89,6,8,7
348,4,Wednesday,2,10,4.0,6,4.34,0.34,2,2,1
349,4,Wednesday,2,11,20.0,11,36.38,16.38,5,7,5
350,4,Wednesday,2,12,20.0,10,67.16,47.16,5,8,7
354,4,Wednesday,3,1,20.0,3,2.21,17.79,5,2,5
356,4,Wednesday,3,3,3.5,1,3.58,0.08,2,2,1
357,4,Wednesday,3,4,10.0,4,3.23,6.77,3,2,3
358,4,Wednesday,3,5,4.0,2,1.88,2.12,2,1,2
359,4,Wednesday,3,6,30.0,5,11.56,18.44,6,4,5
363,4,Wednesday,4,2,6.0,9,7.01,1.01,3,3,1
364,4,Wednesday,4,3,4.0,3,2.25,1.75,2,2,1
365,4,Wednesday,4,4,12.0,6,15.33,3.33,4,5,2
367,4,Wednesday,4,6,15.0,5,14.26,0.74,4,4,1
368,4,Wednesday,4,7,15.0,8,10.31,4.69,4,4,2
369,4,Wednesday,4,8,30.0,7,45.93,15.93,6,7,5
371,4,Wednesday,4,10,12.0,2,11.02,0.98,4,4,1
372,4,Wednesday,4,11,20.0,4,9.86,10.14,5,3,4
373,4,Wednesday,4,12,2.0,1,1.87,0.13,1,1,1
377,4,Wednesday,5,1,8.0,4,5.78,2.22,3,3,2
378,4,Wednesday,5,2,15.0,5,57.74,42.74,4,8,7
379,4,Wednesday,5,3,3.0,3,1.4,1.6,2,1,1
380,4,Wednesday,5,4,20.0,2,38.1,18.1,5,7,5
381,4,Wednesday,5,5,30.0,6,29.71,0.29,6,6,1
382,4,Wednesday,5,6,30.0,10,94.62,64.62,6,8,8
383,4,Wednesday,5,7,8.0,7,12.35,4.35,3,4,2
384,4,Wednesday,5,8,4.5,8,6.46,1.96,2,3,1
385,4,Wednesday,5,9,20.0,9,52.89,32.89,5,8,7
386,4,Wednesday,5,10,1.6,1,2.17,0.57,1,2,1
387,4,Wednesday,6,1,20.0,4,6.69,13.31,5,3,4
390,4,Wednesday,6,4,10.0,1,5.48,4.52,3,3,2
391,4,Wednesday,6,5,15.0,6,13.6,1.4,4,4,1
393,4,Wednesday,6,7,12.0,3,2.53,9.47,4,2,3
401,4,Wednesday,6,15,15.0,5,11.84,3.16,4,4,2
402,4,Wednesday,6,16,8.0,2,1.09,6.91,3,1,3
404,4,Wednesday,7,2,3.0,1,2.85,0.15,2,2,1
405,4,Wednesday,7,3,2.5,2,1.86,0.64,2,1,1
406,4,Wednesday,7,4,10.0,5,8.95,1.05,3,3,1
407,4,Wednesday,7,5,3.5,3,1.87,1.63,2,1,1
410,4,Wednesday,7,8,12.0,6,11.92,0.08,4,4,1
411,4,Wednesday,7,9,15.0,4,16.84,1.84,4,5,1
417,4,Wednesday,8,6,15.0,4,4.63,10.37,4,2,4
418,4,Wednesday,8,7,4.5,1,0.65,3.85,2,1,2
419,4,Wednesday,8,8,30.0,3,11.85,18.15,6,4,5
420,4,Wednesday,8,9,12.0,2,3.71,8.29,4,2,3
425,4,Wednesday,8,14,8.0,5,7.29,0.71,3,3,1
428,5,Thursday,1,1,10.0,4,11.18,1.18,3,4,1
430,5,Thursday,1,3,5.0,2,2.85,2.15,2,2,2
431,5,Thursday,1,4,4.5,3,2.29,2.21,2,2,2
432,5,Thursday,1,5,4.0,5,4.96,0.96,2,2,1
434,5,Thursday,1,7,30.0,6,29.91,0.09,6,6,1
435,5,Thursday,1,8,3.5,1,1.89,1.61,2,1,1
436,5,Thursday,2,1,8.0,4,9.26,1.26,3,3,1
437,5,Thursday,2,2,15.0,2,13.64,1.36,4,4,1
438,5,Thursday,2,3,4.5,3,3.05,1.45,2,2,1
439,5,Thursday,2,4,6.0,5,14.9,8.9,3,4,3
440,5,Thursday,2,5,30.0,6,30.76,0.76,6,7,1
441,5,Thursday,2,6,10.0,7,27.85,17.85,3,6,5
444,5,Thursday,2,9,1.6,1,0.54,1.06,1,1,1
445,5,Thursday,3,1,6.0,9,10.47,4.47,3,4,2
446,5,Thursday,3,2,8.0,3,5.93,2.07,3,3,2
447,5,Thursday,3,3,30.0,2,19.72,10.28,6,5,4
448,5,Thursday,3,4,20.0,7,13.38,6.62,5,4,3
449,5,Thursday,3,5,10.0,5,16.78,6.78,3,5,3
450,5,Thursday,3,6,2.0,6,1.26,0.74,1,1,1
451,5,Thursday,3,7,12.0,8,10.1,1.9,4,4,1
452,5,Thursday,3,8,8.0,4,14.9,6.9,3,4,3
453,5,Thursday,3,9,30.0,10,60.5,30.5,6,8,7
454,5,Thursday,3,10,3.0,1,4.75,1.75,2,2,1
455,5,Thursday,4,1,6.0,3,3.45,2.55,3,2,2
456,5,Thursday,4,2,30.0,4,30.14,0.14,6,7,1
460,5,Thursday,4,6,20.0,5,9.08,10.92,5,3,4
461,5,Thursday,4,7,20.0,2,18.76,1.24,5,5,1
462,5,Thursday,4,8,1.0,1,0.27,0.73,1,1,1
463,5,Thursday,5,1,2.5,3,3.94,1.44,2,2,1
464,5,Thursday,5,2,10.0,1,7.13,2.87,3,3,2
465,5,Thursday,5,3,3.5,6,6.17,2.67,2,3,2
466,5,Thursday,5,4,6.0,2,4.97,1.03,3,2,1
467,5,Thursday,5,5,4.5,10,4.21,0.29,2,2,1
468,5,Thursday,5,6,20.0,5,24.56,4.56,5,6,2
469,5,Thursday,5,7,15.0,4,21.24,6.24,4,6,3
470,5,Thursday,5,8,20.0,9,20.62,0.62,5,6,1
471,5,Thursday,5,9,30.0,8,19.83,10.17,6,5,4
472,5,Thursday,5,10,8.0,7,4.31,3.69,3,2,2
474,5,Thursday,6,2,12.0,1,2.61,9.39,4,2,3
475,5,Thursday,6,3,3.5,6,2.27,1.23,2,2,1
478,5,Thursday,6,6,15.0,3,10.97,4.03,4,4,2
481,5,Thursday,6,9,20.0,2,12.72,7.28,5,4,3
482,5,Thursday,6,10,15.0,4,6.02,8.98,4,3,3
485,5,Thursday,6,13,2.5,5,2.22,0.28,2,2,1
486,5,Thursday,7,1,15.0,5,6.57,8.43,4,3,3
487,5,Thursday,7,2,30.0,6,27.33,2.67,6,6,2
489,5,Thursday,7,4,20.0,4,13.2,6.8,5,4,3
490,5,Thursday,7,5,15.0,1,6.0,9.0,4,3,3
491,5,Thursday,7,6,15.0,2,3.19,11.81,4,2,4
492,5,Thursday,7,7,3.5,7,3.13,0.37,2,2,1
494,5,Thursday,7,9,6.0,8,10.1,4.1,3,4,2
495,5,Thursday,7,10,4.0,3,3.17,0.83,2,2,1
498,5,Thursday,8,3,30.0,2,19.97,10.03,6,5,4
499,5,Thursday,8,4,10.0,1,1.64,8.36,3,1,3
501,5,Thursday,8,6,30.0,3,9.41,20.59,6,3,6
502,5,Thursday,8,7,20.0,6,6.12,13.88,5,3,4
506,5,Thursday,8,11,8.0,4,3.33,4.67,3,2,2
507,5,Thursday,8,12,3.0,5,2.36,0.64,2,2,1
511,5,Thursday,9,2,20.0,2,15.11,4.89,5,5,2
512,5,Thursday,9,3,30.0,6,51.21,21.21,6,8,6
513,5,Thursday,9,4,20.0,7,41.42,21.42,5,7,6
515,5,Thursday,9,6,4.5,3,4.46,0.04,2,2,1
516,5,Thursday,9,7,6.0,8,4.68,1.32,3,2,1
517,5,Thursday,9,8,12.0,4,14.14,2.14,4,4,2
518,5,Thursday,9,9,15.0,1,5.14,9.86,4,3,3
519,5,Thursday,9,10,2.5,9,1.13,1.37,2,1,1
520,5,Thursday,9,11,12.0,5,31.59,19.59,4,7,5
521,6,Friday,1,1,6.0,4,7.89,1.89,3,3,1
522,6,Friday,1,2,3.5,2,1.85,1.65,2,1,1
523,6,Friday,1,3,20.0,6,9.57,10.43,5,3,4
525,6,Friday,1,5,12.0,7,25.65,13.65,4,6,4
526,6,Friday,1,6,2.5,1,2.11,0.39,2,2,1
527,6,Friday,1,7,4.0,5,12.11,8.11,2,4,3
529,6,Friday,1,9,30.0,8,39.77,9.77,6,7,3
530,6,Friday,1,10,8.0,3,4.76,3.24,3,2,2
531,6,Friday,2,1,20.0,8,26.91,6.91,5,6,3
532,6,Friday,2,2,20.0,6,42.87,22.87,5,7,6
533,6,Friday,2,3,30.0,10,82.49,52.49,6,8,8
534,6,Friday,2,4,12.0,4,20.13,8.13,4,6,3
536,6,Friday,2,6,3.5,1,0.73,2.77,2,1,2
537,6,Friday,2,7,20.0,5,31.94,11.94,5,7,4
538,6,Friday,2,8,12.0,9,36.23,24.23,4,7,6
