,Day,Weekday,Race Number,Post Position,M/L Odds,Final Odds,Change In Odds,Distance,FieldSize,Favorite,HalfMileTime,FinalTime,WinnersTrainer,WinnersJockey,ExactaPayout,SuperfectaPayout,TrifectaPayout
73,8,Sunday,6,9,6.0,3.58,-2.42,8.5,7,N,47.66,105.88,Desormeaux J.                                                                                                          ,Lanerie Corey                                                                                                          ,61.78,233.01,126.28
74,8,Sunday,7,2,20.0,21.77,1.77,9.0,11,N,47.78,109.78,Joseph Jr. Saffie                                                                                                      ,Alvarado Junior                                                                                                        ,104.92,926.81,686.07
75,8,Sunday,8,5,3.0,3.27,0.27,7.0,9,N,45.24,84.1,Foster Eric                                                                                                            ,Gaffalione Tyler                                                                                                       ,19.43,67.77,70.27
76,8,Sunday,9,1,3.0,1.59,-1.41,12.0,8,Y,50.63,149.11,McGaughey III Claude                                                                                                   ,Prat Flavien                                                                                                           ,6.58,57.84,26.47
77,9,Wednesday,1,4,6.0,2.66,-3.34,8.5,6,N,49.9,107.23,Correas IV Ignacio                                                                                                     ,Ortiz Jose                                                                                                             ,10.0,29.81,39.28
78,9,Wednesday,2,8,30.0,10.53,-19.47,9.0,8,N,48.28,111.66,Molloy Thomas                                                                                                          ,Ortiz Jose                                                                                                             ,48.14,41.89,68.71
79,9,Wednesday,3,1,3.5,5.05,1.55,8.5,6,N,47.75,107.08,Arnold II George                                                                                                       ,Saez Luis                                                                                                              ,23.45,15.69,36.95
80,9,Wednesday,4,2,3.5,1.6,-1.9,4.5,8,Y,46.11,52.86,McEntee Paul                                                                                                           ,Saez Luis                                                                                                              ,29.21,17.33,29.17
81,9,Wednesday,5,2,3.0,2.25,-0.75,7.0,9,Y,46.79,90.46,Toner James                                                                                                            ,Ortiz Jose                                                                                                             ,16.86,36.39,37.54
82,9,Wednesday,6,5,1.2,1.16,-0.04,6.0,6,Y,46.48,71.9,Moquett Ron                                                                                                            ,Gaffalione Tyler                                                                                                       ,6.0,3.74,10.03
83,9,Wednesday,7,2,2.5,1.09,-1.41,9.0,11,Y,49.02,110.17,Maker Michael                                                                                                          ,Saez Luis                                                                                                              ,11.43,45.81,15.08
84,9,Wednesday,8,6,6.0,3.99,-2.01,7.0,6,N,46.39,85.22,O''Neill Doug                                                                                                           ,Machado Luan                                                                                                           ,13.71,16.62,36.14
85,10,Thursday,1,6,3.0,1.03,-1.97,8.5,6,Y,48.47,106.24,Maker Michael                                                                                                          ,Rosario Joel                                                                                                           ,7.85,6.64,20.08
86,10,Thursday,2,1,1.2,0.19,-1.01,4.5,5,Y,46.75,53.48,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,8.62,0.0,13.51
87,10,Thursday,3,1,10.0,4.43,-5.57,7.0,10,N,46.06,84.64,Walsh Brendan                                                                                                          ,Rosario Joel                                                                                                           ,44.64,204.71,100.1
88,10,Thursday,4,7,4.5,4.05,-0.45,8.5,7,N,47.1,105.57,Walden William                                                                                                         ,Ortiz Jr. Irad                                                                                                         ,10.75,13.59,12.52
89,10,Thursday,5,1,10.0,2.63,-7.37,8.5,11,Y,47.12,101.5,Walsh Brendan                                                                                                          ,Gaffalione Tyler                                                                                                       ,26.1,83.92,88.21
90,10,Thursday,6,1,3.5,2.91,-0.59,8.5,6,N,47.18,104.8,Pletcher Todd                                                                                                          ,Gaffalione Tyler                                                                                                       ,12.43,8.37,10.0
91,10,Thursday,7,4,20.0,51.89,31.89,5.5,9,N,43.83,61.96,Wojczynski Justin                                                                                                      ,Corrales Gerardo                                                                                                       ,287.32,1042.73,725.58
92,10,Thursday,8,3,3.5,8.84,5.34,6.5,9,N,45.44,76.93,Breen Kelly                                                                                                            ,Rosario Joel                                                                                                           ,33.73,53.15,83.02
93,10,Thursday,9,10,20.0,25.39,5.39,5.5,11,N,44.07,62.17,Davis Christopher                                                                                                      ,Cedillo Abel                                                                                                           ,423.59,1496.22,921.91
94,11,Friday,1,7,8.0,3.93,-4.07,7.0,4,N,47.02,86.58,Tomlinson Michael                                                                                                      ,Gaffalione Tyler                                                                                                       ,7.12,0.0,0.0
95,11,Friday,2,5,10.0,16.65,6.65,5.5,12,N,44.27,62.64,Cohn Alice                                                                                                             ,Lanerie Corey                                                                                                          ,74.47,212.01,181.22
96,11,Friday,3,1,1.2,0.68,-0.52,6.0,5,Y,45.72,71.76,Calhoun W.                                                                                                             ,Hernandez Jr. Brian                                                                                                    ,4.65,0.0,5.02
97,11,Friday,4,6,15.0,12.74,-2.26,6.0,10,N,45.14,71.6,Mackey Wayne                                                                                                           ,Machado Luan                                                                                                           ,62.53,76.96,99.7
